id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
qld_housing_centres_0000,"Cairns Housing Service Centre, Queensland Government Service Centre",,housing,"William McCormack Place, Ground floor, 5B Sheridan Street",Cairns,QLD,4870,-16.9273625,145.7764267,- 07 4036 5460 - 1800 623 208 (toll free within area) - 1300 650 910 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),cairnshsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 9:30am–4:30pm (phone services available from 8:30am) - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0001,"Maroochydore Housing Service Centre, Queensland Government Service Centre",,housing,"Mike Ahern Centre, Ground floor, 12 First Avenue",Maroochydore,QLD,4558,-26.65525768,153.0931141,- 07 5352 7333 - 1300 650 916 (maintenance enquiries Coolum Beach and South) - 1300 137 687 (maintenance enquiries Peregian Beach and North) - 1800 808 107 (emergency maintenance after hours),maroochydorehsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0002,"Thursday Island Hub Tenancy Services, First Nations Housing and Homelessness",,housing,", 37-45 Douglas Street",Thursday Island,QLD,4875,-10.584221,142.220344,- 07 4212 3700 - 1800 325 111 (toll free within area) - 1300 650 910 (maintenance enquiries for Thursday Island and Horn Island properties) - 1300 738 616 (maintenance enquiries for outer Island properties) - 1800 808 107 (emergency maintenance after hours),FNHHThursdayIslandHub@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0003,Townsville Housing Service Centre,,housing,"Ground floor, 101 Sturt Street, Entrance on Stokes Street, between Walker and Sturt Streets",Townsville,QLD,4810,-19.258863,146.815275,- 07 4724 8500 - 1800 806 197 (toll free within area) - 1300 650 913 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),townsvillehsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0004,Mount Isa Housing Service Centre,,housing,", 19 West Street",Mount Isa,QLD,4825,-20.726181,139.490014,- 07 4437 2700 - 1800 620 466 (toll free within area) - 1300 650 912 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),mtisahsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0005,Mackay Housing Service Centre,,housing,", 162 Victoria Street (entrance via Gregory Street)",Mackay,QLD,4740,-21.14032,149.18446,- 07 4862 9500 - 1800 069 237 (toll free within area) - 1300 650 914 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),mackayhsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0006,Rockhampton Housing Service Centre,,housing,"Level 3, State Government Building, 209 Bolsover Street",Rockhampton,QLD,4700,-23.381493,150.514669,- 07 4848 7000 - 1800 801 176 (toll free within area) - 1800 817 029 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),rockhamptonhsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0007,Emerald Housing Service Centre,,housing,", 99 Hospital Road",Emerald,QLD,4720,-23.50908607,148.1543652,- 07 4988 1600 - 1800 659 160 (toll free within area) - 1300 650 914 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),emeraldhsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0008,Gladstone Housing Service Centre,,housing,", Level 2, 20-22 Herbert Street",Gladstone,QLD,4680,-23.84640094,151.2594423,- 07 4899 2400 - 1800 266 807 (toll free within area) - 1800 817 029 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),gladstonehsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
qld_housing_centres_0009,Bundaberg Housing Service Centre,,housing,", 16 Quay Street",Bundaberg,QLD,4670,-24.863789,152.354064,- 07 4331 7900 - 1800 809 835 (toll free within area) - 1300 137 687 (maintenance enquiries) - 1800 808 107 (emergency maintenance after hours),bundaberghsc@housing.qld.gov.au,,- Monday: 8:30am–4:30pm - Tuesday: 8:30am–4:30pm - Wednesday: 8:30am–4:30pm - Thursday: 8:30am–4:30pm - Friday: 8:30am–4:30pm,,Free,qld_housing_centres,Contact a Housing Service Centre,QLD Housing and Public Works,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contact-a-housing-service-centre,2026-04-17,complete
